input,output,type,IE
 The fleet of ships sailed in a procession across the ocean., the fleet of ships sailed in convoy across the ocean.,prepositional_phrase,in convoy
 The suspect is incarcerated and will be charged with first-degree murder., the suspect is in custody and will be charged with first-degree murder.,prepositional_phrase,in custody
 The suspect is jailed and will be charged with first-degree murder., the suspect is in custody and will be charged with first-degree murder.,prepositional_phrase,in custody
 The suspect is imprisoned and will be charged with first-degree murder., the suspect is in custody and will be charged with first-degree murder.,prepositional_phrase,in custody
 The victim's family is relieved that the suspect is incarcerated., the victim's family is relieved that the suspect is in custody.,prepositional_phrase,in custody
 The victim's family is relieved that the suspect is jailed., the victim's family is relieved that the suspect is in custody.,prepositional_phrase,in custody
 The victim's family is relieved that the suspect is imprisoned., the victim's family is relieved that the suspect is in custody.,prepositional_phrase,in custody
 The suspect will remain incarcerated until his trial date., the suspect will remain in custody until his trial date.,prepositional_phrase,in custody
 The suspect will remain jailed until his trial date., the suspect will remain in custody until his trial date.,prepositional_phrase,in custody
 The suspect will remain imprisoned until his trial date., the suspect will remain in custody until his trial date.,prepositional_phrase,in custody
 The prosecutor is confident that the suspect will be convicted and remain incarcerated for a long time., the prosecutor is confident that the suspect will be convicted and remain in custody for a long time.,prepositional_phrase,in custody
